,,,,,,,,,,,,,,,,,,,,," ","  (%)","  wage","  wage","","","   period(%)","","  (N.T.$)","   period(%)","",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43178","1.85","34067","1.33","180.4","","-0.28","","171.4","","-0.23","",
,,,,,,,,,,,,,,,,,,,,,"  96年  2007 ","1.8","17280","95","","44392","2.08","","36319","1.67","",,,,,,,,,,,,,
" 103年  2014 ","4.02","1.82","22668","3.43","320092","2.78","281850","1.38","106.8","","6.37","","103.46","","4.12","","101.09","","-1.4","",,,,,,,,,,,,,,,,,,,,,,,,
" 104年  2015 ","0.72","-3.3","22384","-1.25","285344","-10.86","237219","-15.83","104.93","","-1.75","","102.52","","-0.91","","107.38","","6.22","",,,,,,,,,,,,"43121","-0.13","34125","0.17","179.7","","-0.39","","171.5","","0.06","",
,,,,,,,,,,,,,,,,,,,,,"  97年  2008 ","3.52","17280","95","","44367","-0.06","","36387","0.19","","39125","-9.27","32480","-4.82","176.7","","-1.67","","170.4","","-0.64","",
,,,,,,,,,,,,,,,,,,,,,"  98年  2009 ","-0.86","17280","95","","42182","-4.92","","35629","-2.08","",,,,,,,,,,,,,
" 105年  2016 ","1.48","0.76","22540","0.7","280321","-1.76","230568","-2.8","106.54","","1.53","","108.4","","5.74","","106.62","","-0.71","",,,,,,,,,,,,"42300","8.12","33273","2.44","181.1","","2.49","","172.3","","1.12","",
,,,,,,,,,,,,,,,,,,,,,"  99年  2010 ","0.96","17280","95","","44359","5.16","","36214","1.64","","43316","2.4","33724","1.36","178.7","","-1.33","","170.3","","-1.16","",
,,,,,,,,,,,,,,,,,,,,," 100年  2011 ","1.42","17880","98","","45508","2.59","","36689","1.31","",,,,,,,,,,,,,
" 資料來源： 行政院主計總處、財政部、經濟部及本部。 ","","","","","",""," Source：  Directorate-General of Budget, Accounting and Statistics, Ministry of Economic Affairs, Ministry of Finance and Ministry of","","","","","","","","","","","","","",,,,,,,,,,,,"43689","0.86","34235","1.52","178.4","","-0.17","","170.4","","0.06","",
,,,,,,,,,,,,,,,,,,,,," 101年  2012 ","1.93","18780","103","","45589","0.18","","37151","1.26","",,,,,,,,,,,,,
