" ","","  國小及","  國　中","  高　中","  高　職","  專　科","  大學及","  不　限","  24歲及","","  25~34歲","","  35~44歲","  45~54歲","  55~64歲","  65歲及","  不　拘"," ","","  國小及","  國　中","  高　中","  高　職","  專　科","  大學及","  不　限","  24歲及","","  25~34歲","","  35~44歲","  45~54歲","  55~64歲","  65歲及","  不　拘"," ","","  國小及","  國　中","  高　中","  高　職","  專　科","  大學及","  不　限","  24歲及","","  25~34歲","","  35~44歲","  45~54歲","  55~64歲","  65歲及","  不　拘",
" ","","  以　下","","","","","  以　上","","  以下","","","","","","","  以上",""," ","","  以　下","","","","","  以　上","","  以下","","","","","","","  以上",""," ","","  以　下","","","","","  以　上","","  以下","","","","","","","  以上","",
,,,,,,,,"","","  20~24歲","","  25~29歲","","","","","",,,,,,,,,"","","  20~24歲","","  25~29歲","","","","","",,,,,,,,,"","","  20~24歲","","  25~29歲","","","","","",
" ","","  Under","","","  Senior","","  College &",,,,,,,,,,," ","","  Under","","","  Senior","","  College &",,,,,,,,,,," ","","  Under","","","  Senior","","  College &",,,,,,,,,,,
" ","  Grand","","  Junior high","  Senior high","","  Junior","","","  Years &","","","","","","","  Years &",""," ","  Grand","","  Junior high","  Senior high","","  Junior","","","  Years &","","","","","","","  Years &",""," ","  Grand","","  Junior high","  Senior high","","  Junior","","","  Years &","","","","","","","  Years &","",
" Item ","  total","  primary","  school","  school","  vocational","  college","  graduate"," Unspecified","  under","  years","  years","  years","  years","  years","  years","  over"," Unspecified"," Item ","  total","  primary","  school","  school","  vocational","  college","  graduate"," Unspecified","  under","  years","  years","  years","  years","  years","  years","  over"," Unspecified"," Item ","  total","  primary","  school","  school","  vocational","  college","  graduate"," Unspecified","  under","  years","  years","  years","  years","  years","  years","  over"," Unspecified",
" ","","  school","","","  school","","  school",,,,,,,,,,," ","","  school","","","  school","","  school",,,,,,,,,,," ","","  school","","","  school","","  school",,,,,,,,,,,
" 總　　  計  Total ","","","","","","","",,,,,,,,,,," 臺  中  市   Taichung City Employment ","","","","","","","",,,,,,,,,,," 勞動力發展署北基宜花金馬分署 ","","","","","","","",,,,,,,,,,,
,,,,,,,,,,,,,,,,,," 　　　       Services Office ","","","","","","","",,,,,,,,,,," Regional Branch of WDA, Taipei-Kee- ","","","","","","","",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," lung-Yilan-Hualien-Kinmen-Matsu Region ","","","","","","","",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 勞動力發展署高屏澎東分署 ","","","","","","","",,,,,,,,,,,
" 桃  園  市   Taoyuan City Employment ","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,," Regional Branch of WDA, Kaohsiung- ","","","","","","","",,,,,,,,,,,
" 　　　       Services Office ","","","","","","","",,,,,,,,,,," 其　　他   Others ","","","","","","","",,,,,,,,,,," Pingtung-Penghu-Taitung Region ","","","","","","","",,,,,,,,,,,
" 求職人數  No. of job seekers ","9477","269","992","1240","2855","895","3226","0","2345","1928","3021","1698","2245","1231","561","74","0"," 求職人數  No. of job seekers ","24","0","1","1","5","4","13","0","0","0","10","6","9","4","1","0","0",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 求職人數  No. of job seekers ","93168","5604","13477","6370","37275","8867","21575","0","18529","14242","24058","13026","20419","19527","9592","1043","0",
" 求才人數  No. of job openings ","48615","108","5797","10299","14321","3672","1664","12754","0","0","0","0","0","0","0","0","48615"," 求才人數  No. of job openings ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 求才人數  No. of job openings ","138811","2371","10956","12173","33574","13435","6681","59621","0","0","0","0","0","0","0","0","138811",
" 求職推介  No. of job seekers employed ","5636","95","412","714","1651","602","2162","0","1387","1148","1971","1116","1346","685","225","22","0"," 求職推介  No. of job seekers employed ","2","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0"," 求職推介  No. of job seekers employed ","62620","3878","8887","4324","25450","5799","14282","0","12458","9554","16164","8691","13531","13325","6439","703","0",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 就業人數  by employment service ","","","","","","","",,,,,,,,,,,
" 就業人數  by employment service ","","","","","","","",,,,,,,,,,," 就業人數  by employment service ","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 求才僱用  No. of job openings filled ","95454","1774","8229","7929","22965","8866","4364","41327","0","0","0","0","0","0","0","0","95454",
" 求才僱用  No. of job openings filled ","16132","27","1820","3849","3597","1051","480","5308","0","0","0","0","0","0","0","0","16132"," 求才僱用  No. of job openings filled ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 人數　　  by employment service ","","","","","","","",,,,,,,,,,,
" 人數　　  by employment service ","","","","","","","",,,,,,,,,,," 人數　　  by employment service ","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 資料來源： 勞動部勞動力發展署。 ","","","","","","",""," Source：  Workforce Development Agency, MOL.","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 說　　明： 1.97年8月起，納入原住民族委員會就業服務資料；105年10月起，納入國軍退除役官兵輔導委員會資料。 ","","","","","","",""," Note：  1.Beginning in August 2008, the data series include employment service in the Council of Indigenous Peoples.","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 2.其他係為原住民族委員會及國軍退除役官兵輔導委員會資料。 ","","","","","","","","     Beginning in October 2016,the data series include employment service in Veterans Affairs Council.","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"  2.Othrers data include employment service in The Council of Indigenous Peoples,Executive Yuan and Veterans Affairs Council.","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ","","   -326-","","","","","","","","","","   -327-","","","","","",
" ","","   -322-","","","","","","","","","","   -323-","","","","",""," ","","   -324-","","","","","","","","","","   -325-","","","","","",
